question	answer
Bài tập về nhà của các học viên Enspire gồm những gì? Học viên và phụ huynh có thể tìm ở đâu để biết nội dung bài tập cần làm sau mỗi buổi học?	Các học viên Enspire sẽ làm bài tập trong sách bài tập của các con được mua từ hệ thống học liệu của Enspire theo chương trình theo học tại Enspire. Ngoài ra các học viên còn làm bài tập từ các tờ bài tập do nhân viên đào tạo của Enspire đưa trong các buổi học kèm riêng. Thông thường bài tập trong sách bài tâp của các con sẽ được GVNN gửi sau mỗi buổi học trên lớp tại tài khoản eco của các con cùng với phần nhận xét của giáo viên sau mỗi buổi học tại lớp.
Sau buổi học tại Enspire con anh/chị chưa chăm chỉ làm bài tập về nhà và học lại phần kiến thức tại lớp, có cách gì để giúp các học viên Enspire chăm chỉ hơn không?	"Lắng nghe: Hỏi vì sao con chưa chăm chỉ làm bài tập và học lại bài tại lớp. Có thể có các nguyên nhân sau:  Vì con không thích học tiếng anh. Vì con chưa hiểu bài học tại lớp. Vì con thấy nhàm chán vì dễ quá với mức độ thường xuyên. Vì con chưa chuyên cần nên bài hôm trước học...
Giải quyết:
Nếu vì con không thích học tiếng anh: Hãy tạo dựng hứng thú cho các con trong việc học Tiếng anh bằng cách khen ngợi nhưng nỗ lực dù rất nhỏ mà con đã đạt được trong việc học tiếng anh. Không gây áp lực bằng cách đặt ra các mục tiêu cho con trong việc học TA( điểm số bao nhiêu?, bao nhiêu từ mới sau mỗi buổi học?, phải nắm ngay cấu trúc ngữ pháp, phát âm phải chuẩn ngay...). Nếu con chưa hiểu bài nếu bố mẹ biết tiếng anh cần hỗ trợ cho các con để nắm được bài ngày. Nếu bố mẹ không biết tiếng anh hay đặt lịch cho nhân viên đào tạo để được bổ trợ ngay sau bài học. Giúp con nắm được ngay nội dung bài học sau buổi lên lớp tại Enspire. Nếu con thấy nhàm chán vì dễ quá. Hãy kiểm tra lại trình độ con xem con có ngồi nhầm trình độ. Nếu con ngồi ở trình độ thấp hơn của con hiện tại cần chuyển cho co học đúng với trình độ đánh giá mới. Nếu sau kiểm tra con vẫn chỉ ở trình độ đó thì bố mẹ và nhân viên đào tạo cần định hướng tư tưởng cho con là con cần làm bài tập để rèn luyện thói quên học ngoại ngữ, sử dụng một số phương pháp bổ trợ bên ngoài để có cách vận dụng kiến thức tiếng anh đang học như mở rộng từ vựng chủ để đang học, tòm tắt các nội dung bài tập bằng phương pháp bản đồ tư duy. Nếu con chưa chuyên cần làm bài tập bố mẹ và các nhân viên đao tạo cần kiểm tra thường xuyên để đốc thúc và nhắc nhở kịp thời, đặt ra các phần thường tinh thần cho việc hoàn thành đầy đủ bài tập về nhà và ôn lại bài ở lớp."
Phụ huynh Enspire muốn hỗ trợ con học thêm ở nhà có được không? 	anh chị có thể hỗ trợ con bằng cách check email để biết hôm nay con học bài gì trên lớp và kiểm tra lượng kiến thức các con nhớ được trong bài hôm nay hoặc các bài đã học trong unit. Nhưng các anh chị hạn chế nhất viêc phát âm bằng tiếng anh cho các con mà hãy chỉ vào hình và kiểm tra cách phát âm của các con thôi. vì việc như chị em mình phát âm chưa chuẩn phát âm cho các bé nghe sẽ ảnh hưởng rất nhiều đến việc học pháp âm chuẩn bản ngữ cho các con 
Sau mỗi buổi học của con tôi không nhận được email thông báo của GVCN lớp?	Phụ huynh vào tài khoản eco của học viên để kiểm tra xem GVCN đã gửi tin nhắn chưa? Nếu đã gửi nhưng chưa nhận được có thể là do hệ thống eco bị lỗi không nhận được email. Phụ huynh cần báo lại cho GVCN để khắc phục lỗi phần mềm
Chương trình học của Enspire gồm những gì?	"Chương trình học của Enspire gồm: Tiếng anh mẫu giáo( Happy kids); Tiếng anh trẻ em(Smart kids); Tiếng anh Thiếu niên( Super kidsd); Tiếng anh luyện thi IELTS;     - HK: Có 3 cấp độ - HK 1 (AB) - 2 (AB) - 3 (AB) 
  - SK Có 3 cấp độ - SK 1 (AB) - 2 (AB) - 3 (AB)
  - SupK: Có 6 cấp độ - SupK 1 (ABCD) - 2 (ABCD) - 3 (ABCD) - 4 (ABCD) - 5 (ABCD) - 6 (ABCD)
  -   - IE: Có 4 cấp độ: Pathway( 3.0-4.0);  IE 1 (5.0+); IE 2 (6.0+); "
Thời lượng học của mối khóa học tại Enspire là bao lâu?	Khóa học HK và SupK gồm: 72h và 48b và 1.5h/buổi; Khóa học SK gồm: 180h = 120 buổi và 1.5h/buổi. 
Phụ huynh Enspire làm gì để kiểm soát được việc học tiếng anh của con tại trung tâm?	Sau mỗi buổi học GVCN sẽ gửi thông báo và nhận xét về tình hình học tập của con trong buổi hôm đó đến quý Phụ huynh thông qua tài khoản học tập của các con, đồng thời giao bài tập về nhà (nếu có bài); - Kết thúc một khóa học, Enspire có tổ chức họp phụ huynh để thông báo tới phụ huynh kết quả học tập của con, GVNN sẽ nhận xét điểm mạnh, điểm yếu của con cũng như đưa ra lời khuyên để phát huy điểm mạnh và hạn chế điểm yếu cùng như lộ trình học tiếp theo cho con. 
Giáo viên Enspire có phải là giáo viên bản ngữ không?	Khẳng định: Tất cả các giáo viên tham gia giảng dạy tại Hệ thống Enspire là giáo viên bản ngữ tức là ngôn ngữ thứ nhất của họ là tiếng anh. Ngoài ra giáo viên còn đáp ứng các yêu cầu sau: Tốt nghiệp đại học (hoặc đại học chuyên ngành tiếng anh):  Có chứng chỉ TEFL, Celta, Tesol; Có kinh nghiệm giảng dạy tại trình độ đảm nhận và tại các quốc gia có năng lực tiếng anh tương đồng ở Việt Nam
Mỗi khóa học diễn ra trong bao lâu?	"  - Khóa HK 1/2/3 : 6 tháng , 72h, 48b                        SK 1/2/3 : 15 tháng, 180h, 120 buổi
 "
Độ tuổi học sinh theo học các chương trình Enspire như thế nào?	"  - HK: 4-6 tuổi
  - SK: 6 -11 tuổi
  - SupK: 11 - 18 tuổi: IELTS: Từ 13 tuổi trở lên; "
